Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Perihelion Time,Mean Anomaly,Avg_Diameter_KM,Hazardous
1.602446945,1.214108319,1.482934609,1.131599385,-0.844985773,1.520489262,-0.459116512,-0.283208695,-0.009490243,-0.925561816,0.331281948,0.21604177,-0.872898331,-0.523696949,0
-0.291927759,0.878088443,-0.222229437,0.806710789,0.074375915,-0.081693683,-1.300735169,2.380706745,1.785554401,0.990592989,0.334966127,0.155122975,-0.845001815,-0.18034508,0
-1.718589788,1.23271954,-1.166430149,-1.142620781,-0.257092543,-1.564298678,2.184152807,-0.394084434,1.748247797,-1.27207592,1.118888456,0.905202125,0.095696223,1.940342149,0
1.464070414,-0.885073427,-0.142177975,-0.817732186,-0.847915544,0.869274207,-2.043073944,-0.827881687,0.893309921,0.667239422,-0.928636313,0.226980992,-1.14358291,-0.517632098,0
-1.199677799,1.037227419,1.445286637,-0.817732186,2.017169558,-1.48835052,0.343803755,2.441784711,0.180554016,1.803828042,-1.620815198,0.805142355,0.339045895,0.696291208,0
2.034873603,-0.051913747,0.453278967,0.156933599,-0.911236714,0.694755036,-1.311767998,-0.932736039,-1.565990186,0.285447852,-0.94877999,0.441576358,0.402005974,-0.53682004,0
-0.507795146,-0.793002275,0.863193127,-0.492843591,-0.360641826,0.5986079,-0.478665633,-0.499985424,-0.419468514,-0.301348189,0.563863999,0.162030953,-0.670780979,-0.056058529,1
1.15272322,0.016509155,0.083632092,1.131599385,-0.639626264,1.406567026,-1.019588329,0.175285481,-1.486628182,-0.502101187,1.554253965,0.428795221,0.14975799,-0.499118414,0
1.083534955,-0.380024833,-0.164004606,0.481822194,-0.852072024,1.400911312,-1.136843905,-1.05221605,-0.214516271,-0.406203108,0.203344264,0.189175644,-0.624494561,-0.493854246,0
-0.992113003,-0.639832846,-1.512775688,-0.817732186,-0.67328878,0.575177086,-1.405159779,0.156915128,0.419174378,0.458089305,-1.186055799,0.145422995,1.119299607,0.394519714,1
-0.438606881,1.656929907,0.986844662,-0.817732186,1.033177258,-0.54627018,0.904948346,-0.269673034,-0.556118531,-0.570104555,1.644771089,0.007217881,-0.342693366,-0.099843975,0
-0.473201014,0.726478135,1.251581269,-1.142620781,-0.538113745,0.074242428,0.779793971,0.905652218,-1.030207824,-1.03212845,-0.712809451,0.061310254,-0.155163102,-0.078455261,1
-0.992113003,-0.639832846,-1.512775688,-0.817732186,-0.685378667,0.575177086,-1.405317812,0.15694113,0.41916659,0.458192535,-1.185900004,0.145434646,-0.55239583,0.394519714,1
-1.165083666,0.050973252,-0.204789481,-1.142620781,-0.863763861,-1.225763805,0.830904755,-0.476021127,1.22852345,0.703528385,1.439777888,-0.053016684,-0.716671592,0.640033159,1
0.599217098,-0.428837814,0.350774886,-0.167954996,-0.173591917,1.068840111,-0.749312737,-0.580279746,0.310287489,-0.452480761,-1.548566135,0.397752744,0.618067962,-0.439682825,0
-0.267711866,0.234199378,-0.42531516,0.481822194,-0.093158064,1.324963154,0.007293399,-0.229122487,-0.695821333,-1.135631319,0.707588655,0.25491689,-1.329541285,-0.192188118,0
-1.683995656,3.144621265,0.358784324,-1.142620781,-0.348364765,-1.192637481,1.005455833,3.699515949,-1.289585302,-0.255584771,-0.666288636,0.37265651,1.341791452,1.828092585,0
-0.058071422,0.250433719,-0.502924852,-1.142620781,-0.303528297,0.191396501,-1.267744256,1.615776007,-1.189525742,0.687173115,0.607728785,0.412715794,0.800651125,-0.280217432,0
